gene	n_pairs_any	n_variants_any	median_tumor_AF	median_tumor_DP	median_normal_AF	median_normal_DP	pairs_any	caution_reason_symbol	n_pairs_high	n_high	n_pairs_moderate	n_moderate	n_pairs_low	n_low	n_pairs_modifier	n_modifier	n_pairs_low_splice_region	n_low_splice_region	n_pairs_functional_strict	n_functional_strict	n_pairs_functional_extended	n_functional_extended	has_symbol_caution	caution_reason_data	caution_reason	has_caution_flag	unbiased_somatic_gene_score	unbiased_somatic_gene_score_caution_adjusted
EEA1	3	3	0.087	53.0	0.042	37.0	candidate_kenya_pair_001,candidate_kenya_pair_019,candidate_kenya_pair_020	.	1	1	1	1	0	0	1	1	0	0	2	2	2	2	False	.	.	False	15	15
FOXC1	2	2	0.086	62.5	0.046	34.5	candidate_kenya_pair_013,candidate_kenya_pair_020	.	1	1	1	1	0	0	0	0	0	0	2	2	2	2	False	.	.	False	15	15
GNB5	2	2	0.06999999999999999	203.0	0.013701000000000001	172.5	candidate_kenya_pair_007,candidate_kenya_pair_013	.	1	1	1	1	0	0	0	0	0	0	2	2	2	2	False	.	.	False	15	15
GTSE1	2	2	0.593	91.5	0.044500000000000005	46.0	candidate_kenya_pair_005,candidate_kenya_pair_006	.	1	1	1	1	0	0	0	0	0	0	2	2	2	2	False	.	.	False	15	15
IPO7	2	2	0.118	46.5	0.062	25.0	candidate_kenya_pair_007,candidate_kenya_pair_015	.	1	1	1	1	0	0	0	0	0	0	2	2	2	2	False	.	.	False	15	15
KIF18A	3	3	0.106	47.0	0.038	33.0	candidate_kenya_pair_013,candidate_kenya_pair_015,candidate_kenya_pair_021	.	1	1	1	1	0	0	1	1	0	0	2	2	2	2	False	.	.	False	15	15
MAP3K10	4	5	0.107	44.0	0.043	28.0	candidate_kenya_pair_006,candidate_kenya_pair_010,candidate_kenya_pair_013,candidate_kenya_pair_019	.	1	1	1	1	0	0	3	3	0	0	2	2	2	2	False	.	.	False	15	15
MIEN1	3	3	0.059	188.0	0.023	60.0	candidate_kenya_pair_007,candidate_kenya_pair_008,candidate_kenya_pair_010	.	1	1	1	1	1	1	0	0	0	0	2	2	2	2	False	.	.	False	15	15
MRC2	5	6	0.0615	90.5	0.031	43.0	candidate_kenya_pair_003,candidate_kenya_pair_007,candidate_kenya_pair_017,candidate_kenya_pair_018,candidate_kenya_pair_019	.	1	1	1	1	0	0	4	4	0	0	2	2	2	2	False	.	.	False	15	15
MTUS2	2	2	0.11349999999999999	82.5	0.0343945	91.5	candidate_kenya_pair_005,candidate_kenya_pair_013	.	1	1	1	1	0	0	0	0	0	0	2	2	2	2	False	.	.	False	15	15
NACAD	2	2	0.1125	70.0	0.0345	51.0	candidate_kenya_pair_010,candidate_kenya_pair_013	.	1	1	1	1	0	0	0	0	0	0	2	2	2	2	False	.	.	False	15	15
NCOA1	3	5	0.065	134.0	0.014	92.0	candidate_kenya_pair_001,candidate_kenya_pair_005,candidate_kenya_pair_013	.	1	1	1	1	0	0	2	3	0	0	2	2	2	2	False	.	.	False	15	15
NF1	5	6	0.119	70.5	0.036500000000000005	45.5	candidate_kenya_pair_005,candidate_kenya_pair_006,candidate_kenya_pair_013,candidate_kenya_pair_014,candidate_kenya_pair_015	.	1	1	1	1	0	0	3	4	0	0	2	2	2	2	False	.	.	False	15	15
OSBPL9	2	3	0.096	94.0	0.021	83.0	candidate_kenya_pair_013,candidate_kenya_pair_015	.	1	1	1	1	0	0	1	1	0	0	2	2	2	2	False	.	.	False	15	15
PRPF40B	2	2	0.061	215.0	0.0270885	134.0	candidate_kenya_pair_010,candidate_kenya_pair_013	.	1	1	1	1	0	0	0	0	0	0	2	2	2	2	False	.	.	False	15	15
RALGAPA2	2	2	0.178	63.5	0.048999999999999995	70.0	candidate_kenya_pair_013,candidate_kenya_pair_014	.	1	1	1	1	0	0	0	0	0	0	2	2	2	2	False	.	.	False	15	15
RBMX	2	2	0.243	44.0	0.0655	28.0	candidate_kenya_pair_015,candidate_kenya_pair_018	.	1	1	1	1	0	0	0	0	0	0	2	2	2	2	False	.	.	False	15	15
RGS22	3	3	0.083	48.0	0.043	32.0	candidate_kenya_pair_015,candidate_kenya_pair_017,candidate_kenya_pair_019	.	1	1	1	1	0	0	1	1	0	0	2	2	2	2	False	.	.	False	15	15
SACS	2	2	0.0815	62.5	0.0335	44.5	candidate_kenya_pair_014,candidate_kenya_pair_019	.	1	1	1	1	0	0	0	0	0	0	2	2	2	2	False	.	.	False	15	15
